Designator,Mid X,Mid Y,Layer,Rotation
BT1,-11.500000,-50.750000,bottom,-90.0
C5,91.400000,-32.100000,bottom,0.0
C12,91.400000,-30.600000,bottom,0.0
C13,12.100000,-32.000000,bottom,90.0
C17,13.600000,-32.000000,bottom,90.0
D321,-7.000000,-33.000000,bottom,180.0
D322,-2.400000,-39.500000,bottom,180.0
D323,-7.000000,-30.700000,bottom,180.0
DS1,77.800000,-48.855000,bottom,0.0
J1,54.145291,-52.707502,bottom,-90.0
J2,152.500000,-35.600000,bottom,180.0
J3,-15.000000,-40.100000,bottom,90.0
J4,-4.700000,-3.500000,bottom,90.0
J5,-10.000000,-23.500000,bottom,0.0
J6,-10.000000,-13.500000,bottom,0.0
Q5,-2.600000,-30.600000,bottom,-90.0
R5,42.445291,-32.582502,bottom,-90.0
R9,-8.000000,-42.350000,bottom,90.0
R10,-7.100000,-37.600000,bottom,-90.0
R11,-7.800000,-35.300000,bottom,180.0
R12,-1.900000,-36.700000,bottom,-90.0
R74,22.045291,-48.007502,bottom,0.0
R75,24.345291,-48.707502,bottom,-90.0
U6,36.100000,-30.500000,bottom,0.0
U8,17.300000,-42.600000,bottom,180.0
U9,-3.800000,-42.400000,bottom,180.0
U10,-4.600000,-36.300000,bottom,90.0
C1,85.500000,-45.800000,top,-90.0
C2,30.500000,-37.000000,top,180.0
C3,53.000000,-38.400000,top,0.0
C4,70.200000,-45.700000,top,90.0
C6,96.100000,-33.100000,top,90.0
C7,97.600000,-33.100000,top,90.0
C8,1.400000,-47.900000,top,0.0
C9,1.400000,-46.400000,top,0.0
C10,140.100000,-53.100000,top,0.0
C11,140.100000,-54.600000,top,0.0
C14,17.000000,-33.500000,top,90.0
C15,68.600000,-45.700000,top,90.0
C16,87.000000,-45.800000,top,90.0
C18,18.500000,-33.500000,top,90.0
C19,73.400000,-46.100000,top,180.0
C20,69.200000,-40.600000,top,-90.0
D1,32.000000,0.000000,top,0.0
D2,32.000000,-4.000000,top,0.0
D3,32.000000,-8.000000,top,0.0
D4,32.000000,-12.000000,top,0.0
D5,32.000000,-16.000000,top,0.0
D6,32.000000,-20.000000,top,0.0
D7,32.000000,-24.000000,top,0.0
D8,32.000000,-28.000000,top,0.0
D9,36.000000,0.000000,top,0.0
D10,36.000000,-4.000000,top,0.0
D11,36.000000,-8.000000,top,0.0
D12,36.000000,-12.000000,top,0.0
D13,36.000000,-16.000000,top,0.0
D14,36.000000,-20.000000,top,0.0
D15,36.000000,-24.000000,top,0.0
D16,36.000000,-28.000000,top,0.0
D17,40.000000,0.000000,top,0.0
D18,40.000000,-4.000000,top,0.0
D19,40.000000,-8.000000,top,0.0
D20,40.000000,-12.000000,top,0.0
D21,40.000000,-16.000000,top,0.0
D22,40.000000,-20.000000,top,0.0
D23,40.000000,-24.000000,top,0.0
D24,40.000000,-28.000000,top,0.0
D25,44.000000,0.000000,top,0.0
D26,44.000000,-4.000000,top,0.0
D27,44.000000,-8.000000,top,0.0
D28,44.000000,-12.000000,top,0.0
D29,44.000000,-16.000000,top,0.0
D30,44.000000,-20.000000,top,0.0
D31,44.000000,-24.000000,top,0.0
D32,44.000000,-28.000000,top,0.0
D33,48.000000,0.000000,top,0.0
D34,48.000000,-4.000000,top,0.0
D35,48.000000,-8.000000,top,0.0
D36,48.000000,-12.000000,top,0.0
D37,48.000000,-16.000000,top,0.0
D38,48.000000,-20.000000,top,0.0
D39,48.000000,-24.000000,top,0.0
D40,48.000000,-28.000000,top,0.0
D41,52.000000,0.000000,top,0.0
D42,52.000000,-4.000000,top,0.0
D43,52.000000,-8.000000,top,0.0
D44,52.000000,-12.000000,top,0.0
D45,52.000000,-16.000000,top,0.0
D46,52.000000,-20.000000,top,0.0
D47,52.000000,-24.000000,top,0.0
D48,52.000000,-28.000000,top,0.0
D49,56.000000,0.000000,top,0.0
D50,56.000000,-4.000000,top,0.0
D51,56.000000,-8.000000,top,0.0
D52,56.000000,-12.000000,top,0.0
D53,56.000000,-16.000000,top,0.0
D54,56.000000,-20.000000,top,0.0
D55,56.000000,-24.000000,top,0.0
D56,56.000000,-28.000000,top,0.0
D57,60.000000,0.000000,top,0.0
D58,60.000000,-4.000000,top,0.0
D59,60.000000,-8.000000,top,0.0
D60,60.000000,-12.000000,top,0.0
D61,60.000000,-16.000000,top,0.0
D62,60.000000,-20.000000,top,0.0
D63,60.000000,-24.000000,top,0.0
D64,60.000000,-28.000000,top,0.0
D65,64.000000,0.000000,top,0.0
D66,64.000000,-4.000000,top,0.0
D67,64.000000,-8.000000,top,0.0
D68,64.000000,-12.000000,top,0.0
D69,64.000000,-16.000000,top,0.0
D70,64.000000,-20.000000,top,0.0
D71,64.000000,-24.000000,top,0.0
D72,64.000000,-28.000000,top,0.0
D73,68.000000,0.000000,top,0.0
D74,68.000000,-4.000000,top,0.0
D75,68.000000,-8.000000,top,0.0
D76,68.000000,-12.000000,top,0.0
D77,68.000000,-16.000000,top,0.0
D78,68.000000,-20.000000,top,0.0
D79,68.000000,-24.000000,top,0.0
D80,68.000000,-28.000000,top,0.0
D81,72.000000,0.000000,top,0.0
D82,72.000000,-4.000000,top,0.0
D83,72.000000,-8.000000,top,0.0
D84,72.000000,-12.000000,top,0.0
D85,72.000000,-16.000000,top,0.0
D86,72.000000,-20.000000,top,0.0
D87,72.000000,-24.000000,top,0.0
D88,72.000000,-28.000000,top,0.0
D89,76.000000,0.000000,top,0.0
D90,76.000000,-4.000000,top,0.0
D91,76.000000,-8.000000,top,0.0
D92,76.000000,-12.000000,top,0.0
D93,76.000000,-16.000000,top,0.0
D94,76.000000,-20.000000,top,0.0
D95,76.000000,-24.000000,top,0.0
D96,76.000000,-28.000000,top,0.0
D97,80.000000,0.000000,top,0.0
D98,80.000000,-4.000000,top,0.0
D99,80.000000,-8.000000,top,0.0
D100,80.000000,-12.000000,top,0.0
D101,80.000000,-16.000000,top,0.0
D102,80.000000,-20.000000,top,0.0
D103,80.000000,-24.000000,top,0.0
D104,80.000000,-28.000000,top,0.0
D105,84.000000,0.000000,top,0.0
D106,84.000000,-4.000000,top,0.0
D107,84.000000,-8.000000,top,0.0
D108,84.000000,-12.000000,top,0.0
D109,84.000000,-16.000000,top,0.0
D110,84.000000,-20.000000,top,0.0
D111,84.000000,-24.000000,top,0.0
D112,84.000000,-28.000000,top,0.0
D113,88.000000,0.000000,top,0.0
D114,88.000000,-4.000000,top,0.0
D115,88.000000,-8.000000,top,0.0
D116,88.000000,-12.000000,top,0.0
D117,88.000000,-16.000000,top,0.0
