Designator,Mid X,Mid Y,Layer,Rotation
D1,42.750000,-11.000000,top,0.000000
D2,42.750000,-15.000000,top,0.000000
D3,42.750000,-19.000000,top,0.000000
D4,42.750000,-23.000000,top,0.000000
D5,42.750000,-27.000000,top,0.000000
D6,42.750000,-31.000000,top,0.000000
D7,42.750000,-35.000000,top,0.000000
D8,42.750000,-39.000000,top,0.000000
D9,46.750000,-11.000000,top,0.000000
D10,46.750000,-15.000000,top,0.000000
D11,46.750000,-19.000000,top,0.000000
D12,46.750000,-23.000000,top,0.000000
D13,46.750000,-27.000000,top,0.000000
D14,46.750000,-31.000000,top,0.000000
D15,46.750000,-35.000000,top,0.000000
D16,46.750000,-39.000000,top,0.000000
D17,50.750000,-11.000000,top,0.000000
D18,50.750000,-15.000000,top,0.000000
D19,50.750000,-19.000000,top,0.000000
D20,50.750000,-23.000000,top,0.000000
D21,50.750000,-27.000000,top,0.000000
D22,50.750000,-31.000000,top,0.000000
D23,50.750000,-35.000000,top,0.000000
D24,50.750000,-39.000000,top,0.000000
D25,54.750000,-11.000000,top,0.000000
D26,54.750000,-15.000000,top,0.000000
D27,54.750000,-19.000000,top,0.000000
D28,54.750000,-23.000000,top,0.000000
D29,54.750000,-27.000000,top,0.000000
D30,54.750000,-31.000000,top,0.000000
D31,54.750000,-35.000000,top,0.000000
D32,54.750000,-39.000000,top,0.000000
D33,58.750000,-11.000000,top,0.000000
D34,58.750000,-15.000000,top,0.000000
D35,58.750000,-19.000000,top,0.000000
D36,58.750000,-23.000000,top,0.000000
D37,58.750000,-27.000000,top,0.000000
D38,58.750000,-31.000000,top,0.000000
D39,58.750000,-35.000000,top,0.000000
D40,58.750000,-39.000000,top,0.000000
D41,62.750000,-11.000000,top,0.000000
D42,62.750000,-15.000000,top,0.000000
D43,62.750000,-19.000000,top,0.000000
D44,62.750000,-23.000000,top,0.000000
D45,62.750000,-27.000000,top,0.000000
D46,62.750000,-31.000000,top,0.000000
D47,62.750000,-35.000000,top,0.000000
D48,62.750000,-39.000000,top,0.000000
D49,66.750000,-11.000000,top,0.000000
D50,66.750000,-15.000000,top,0.000000
D51,66.750000,-19.000000,top,0.000000
D52,66.750000,-23.000000,top,0.000000
D53,66.750000,-27.000000,top,0.000000
D54,66.750000,-31.000000,top,0.000000
D55,66.750000,-35.000000,top,0.000000
D56,66.750000,-39.000000,top,0.000000
D57,70.750000,-11.000000,top,0.000000
D58,70.750000,-15.000000,top,0.000000
D59,70.750000,-19.000000,top,0.000000
D60,70.750000,-23.000000,top,0.000000
D61,70.750000,-27.000000,top,0.000000
D62,70.750000,-31.000000,top,0.000000
D63,70.750000,-35.000000,top,0.000000
D64,70.750000,-39.000000,top,0.000000
D65,74.750000,-11.000000,top,0.000000
D66,74.750000,-15.000000,top,0.000000
D67,74.750000,-19.000000,top,0.000000
D68,74.750000,-23.000000,top,0.000000
D69,74.750000,-27.000000,top,0.000000
D70,74.750000,-31.000000,top,0.000000
D71,74.750000,-35.000000,top,0.000000
D72,74.750000,-39.000000,top,0.000000
D73,78.750000,-11.000000,top,0.000000
D74,78.750000,-15.000000,top,0.000000
D75,78.750000,-19.000000,top,0.000000
D76,78.750000,-23.000000,top,0.000000
D77,78.750000,-27.000000,top,0.000000
D78,78.750000,-31.000000,top,0.000000
D79,78.750000,-35.000000,top,0.000000
D80,78.750000,-39.000000,top,0.000000
D81,82.750000,-11.000000,top,0.000000
D82,82.750000,-15.000000,top,0.000000
D83,82.750000,-19.000000,top,0.000000
D84,82.750000,-23.000000,top,0.000000
D85,82.750000,-27.000000,top,0.000000
D86,82.750000,-31.000000,top,0.000000
D87,82.750000,-35.000000,top,0.000000
D88,82.750000,-39.000000,top,0.000000
D89,86.750000,-11.000000,top,0.000000
D90,86.750000,-15.000000,top,0.000000
D91,86.750000,-19.000000,top,0.000000
D92,86.750000,-23.000000,top,0.000000
D93,86.750000,-27.000000,top,0.000000
D94,86.750000,-31.000000,top,0.000000
D95,86.750000,-35.000000,top,0.000000
D96,86.750000,-39.000000,top,0.000000
D97,90.750000,-11.000000,top,0.000000
D98,90.750000,-15.000000,top,0.000000
D99,90.750000,-19.000000,top,0.000000
D100,90.750000,-23.000000,top,0.000000
D101,90.750000,-27.000000,top,0.000000
D102,90.750000,-31.000000,top,0.000000
D103,90.750000,-35.000000,top,0.000000
D104,90.750000,-39.000000,top,0.000000
D105,94.750000,-11.000000,top,0.000000
D106,94.750000,-15.000000,top,0.000000
D107,94.750000,-19.000000,top,0.000000
D108,94.750000,-23.000000,top,0.000000
D109,94.750000,-27.000000,top,0.000000
D110,94.750000,-31.000000,top,0.000000
D111,94.750000,-35.000000,top,0.000000
D112,94.750000,-39.000000,top,0.000000
D113,98.750000,-11.000000,top,0.000000
D114,98.750000,-15.000000,top,0.000000
D115,98.750000,-19.000000,top,0.000000
D116,98.750000,-23.000000,top,0.000000
D117,98.750000,-27.000000,top,0.000000
D118,98.750000,-31.000000,top,0.000000
D119,98.750000,-35.000000,top,0.000000
D120,98.750000,-39.000000,top,0.000000
D121,102.750000,-11.000000,top,0.000000
D122,102.750000,-15.000000,top,0.000000
D123,102.750000,-19.000000,top,0.000000
